Date,SPY_Close,SPY_Volume,SPY_Volatility,기준금리,SPY_PER,SPY_PBR,US_GDP,TNX_Close,CPIAUCSL
2025-05-20,592.8499755859375,60614500,4.45001220703125,4.5,26.34,4.69,23548210.0,0.4480999946594238,320.321
2025-05-21,582.8599853515625,95197700,10.760009765625,4.5,26.34,4.69,23548210.0,0.459600019454956,320.321
2025-05-22,583.0900268554688,70860400,5.21002197265625,4.5,26.34,4.69,23548210.0,0.4552999973297119,320.321
2025-05-23,579.1099853515625,76029000,6.21002197265625,4.5,26.34,4.69,23548210.0,0.4508999824523926,320.321
2025-05-27,591.1500244140625,72588500,12.8800048828125,4.5,26.34,4.69,23548210.0,0.4434000015258789,320.321
2025-05-28,587.72998046875,68445500,5.780029296875,4.5,26.34,4.69,23548210.0,0.447700023651123,320.321
2025-05-29,590.0499877929688,69973300,7.1300048828125,4.5,26.34,4.69,23548210.0,0.4423999786376953,320.321
2025-05-30,589.3900146484375,90601200,7.8900146484375,4.5,26.34,4.69,23548210.0,0.4415999889373779,320.321
2025-06-02,592.7100219726562,61630500,7.72998046875,4.5,27.1,4.69,23548210.0,0.4461999893188476,320.321
2025-06-03,596.0900268554688,63606200,5.23004150390625,4.5,27.1,4.69,23548210.0,0.4460000038146973,320.321
2025-06-04,595.9299926757812,57314200,2.46002197265625,4.5,27.1,4.69,23548210.0,0.4364999771118164,320.321
2025-06-05,593.0499877929688,92278700,7.95001220703125,4.5,27.1,4.69,23548210.0,0.4394000053405761,320.321
2025-06-06,599.1400146484375,66588700,3.97003173828125,4.5,27.1,4.69,23548210.0,0.4510000228881836,320.321
2025-06-09,599.6799926757812,53016400,2.760009765625,4.5,27.1,4.69,23548210.0,0.448199987411499,320.321
2025-06-10,603.0800170898438,66247000,4.37994384765625,4.5,27.1,4.69,23548210.0,0.4473999977111816,320.321
2025-06-11,601.3599853515625,73658200,5.78997802734375,4.5,27.1,4.69,23548210.0,0.4412000179290771,320.58
2025-06-12,603.75,64129000,4.22998046875,4.5,27.1,4.69,23548210.0,0.435699987411499,320.58
2025-06-13,597.0,89506000,6.3699951171875,4.5,27.1,4.69,23548210.0,0.4423999786376953,320.58
2025-06-16,602.6799926757812,79984100,4.23004150390625,4.5,27.1,4.69,23548210.0,0.4452000141143798,320.58
2025-06-17,597.530029296875,82209400,4.989990234375,4.5,27.1,4.69,23548210.0,0.439300012588501,320.58
